word,cat
honest,tc
dishonest,tc
fair,tc
unfair,tc
deceptive,tc
truthful,tc
careful,tc
careless,tc
proper,tc
improper,tc
valid,epistemic
invalid,epistemic
accurate,epistemic
inaccurate,epistemic
logical,epistemic
illogical,epistemic
consistent,epistemic
inconsistent,epistemic
appropriate,epistemic
inappropriate,epistemic
reasonable,epistemic
unreasonable,epistemic
legal,legal
illegal,legal
lawful,legal
unlawful,legal
constitutional,legal
inconstitutional,legal
legitimate,legal
illegitimate,legal
just,legal
unjust,legal
